elapsed_ms,kind,value,source,iso_time,session_label
84785,rr,759,saved_rr_points,2026-06-13T21:46:46Z,gate-b-300s-live-rr
85602,rr,817,saved_rr_points,2026-06-13T21:46:47Z,gate-b-300s-live-rr
86574,rr,812,saved_rr_points,2026-06-13T21:46:48Z,gate-b-300s-live-rr
87549,rr,784,saved_rr_points,2026-06-13T21:46:49Z,gate-b-300s-live-rr
88519,rr,741,saved_rr_points,2026-06-13T21:46:50Z,gate-b-300s-live-rr
89489,rr,777,saved_rr_points,2026-06-13T21:46:51Z,gate-b-300s-live-rr
90134,rr,809,saved_rr_points,2026-06-13T21:46:52Z,gate-b-300s-live-rr
90436,rr,799,saved_rr_points,2026-06-13T21:46:52Z,gate-b-300s-live-rr
91221,rr,785,saved_rr_points,2026-06-13T21:46:53Z,gate-b-300s-live-rr
92218,rr,748,saved_rr_points,2026-06-13T21:46:54Z,gate-b-300s-live-rr
93226,rr,777,saved_rr_points,2026-06-13T21:46:55Z,gate-b-300s-live-rr
94229,rr,815,saved_rr_points,2026-06-13T21:46:56Z,gate-b-300s-live-rr
94897,rr,819,saved_rr_points,2026-06-13T21:46:56Z,gate-b-300s-live-rr
96205,rr,782,saved_rr_points,2026-06-13T21:46:58Z,gate-b-300s-live-rr
96206,rr,748,saved_rr_points,2026-06-13T21:46:58Z,gate-b-300s-live-rr
96860,rr,761,saved_rr_points,2026-06-13T21:46:58Z,gate-b-300s-live-rr
97897,rr,812,saved_rr_points,2026-06-13T21:46:59Z,gate-b-300s-live-rr
98879,rr,814,saved_rr_points,2026-06-13T21:47:00Z,gate-b-300s-live-rr
99858,rr,785,saved_rr_points,2026-06-13T21:47:01Z,gate-b-300s-live-rr
100878,rr,751,saved_rr_points,2026-06-13T21:47:02Z,gate-b-300s-live-rr
101904,rr,774,saved_rr_points,2026-06-13T21:47:03Z,gate-b-300s-live-rr
101905,rr,834,saved_rr_points,2026-06-13T21:47:03Z,gate-b-300s-live-rr
102698,rr,819,saved_rr_points,2026-06-13T21:47:04Z,gate-b-300s-live-rr
104041,rr,765,saved_rr_points,2026-06-13T21:47:06Z,gate-b-300s-live-rr
104719,rr,730,saved_rr_points,2026-06-13T21:47:06Z,gate-b-300s-live-rr
105738,rr,752,saved_rr_points,2026-06-13T21:47:07Z,gate-b-300s-live-rr
106758,rr,762,saved_rr_points,2026-06-13T21:47:08Z,gate-b-300s-live-rr
107024,rr,772,saved_rr_points,2026-06-13T21:47:08Z,gate-b-300s-live-rr
107784,rr,760,saved_rr_points,2026-06-13T21:47:09Z,gate-b-300s-live-rr
108471,rr,735,saved_rr_points,2026-06-13T21:47:10Z,gate-b-300s-live-rr
109498,rr,750,saved_rr_points,2026-06-13T21:47:11Z,gate-b-300s-live-rr
110517,rr,767,saved_rr_points,2026-06-13T21:47:12Z,gate-b-300s-live-rr
111551,rr,750,saved_rr_points,2026-06-13T21:47:13Z,gate-b-300s-live-rr
111847,rr,737,saved_rr_points,2026-06-13T21:47:13Z,gate-b-300s-live-rr
112580,rr,733,saved_rr_points,2026-06-13T21:47:14Z,gate-b-300s-live-rr
113251,rr,793,saved_rr_points,2026-06-13T21:47:15Z,gate-b-300s-live-rr
114280,rr,784,saved_rr_points,2026-06-13T21:47:16Z,gate-b-300s-live-rr
115309,rr,771,saved_rr_points,2026-06-13T21:47:17Z,gate-b-300s-live-rr
116335,rr,775,saved_rr_points,2026-06-13T21:47:18Z,gate-b-300s-live-rr
117364,rr,838,saved_rr_points,2026-06-13T21:47:19Z,gate-b-300s-live-rr
117365,rr,852,saved_rr_points,2026-06-13T21:47:19Z,gate-b-300s-live-rr
118048,rr,861,saved_rr_points,2026-06-13T21:47:20Z,gate-b-300s-live-rr
119235,rr,819,saved_rr_points,2026-06-13T21:47:21Z,gate-b-300s-live-rr
120235,rr,759,saved_rr_points,2026-06-13T21:47:22Z,gate-b-300s-live-rr
120892,rr,778,saved_rr_points,2026-06-13T21:47:22Z,gate-b-300s-live-rr
121937,rr,793,saved_rr_points,2026-06-13T21:47:23Z,gate-b-300s-live-rr
122799,rr,779,saved_rr_points,2026-06-13T21:47:24Z,gate-b-300s-live-rr
123076,rr,750,saved_rr_points,2026-06-13T21:47:25Z,gate-b-300s-live-rr
123848,rr,772,saved_rr_points,2026-06-13T21:47:25Z,gate-b-300s-live-rr
125454,rr,1058,saved_rr_points,2026-06-13T21:47:27Z,gate-b-300s-live-rr
125884,rr,430,saved_rr_points,2026-06-13T21:47:27Z,gate-b-300s-live-rr
126902,rr,1442,saved_rr_points,2026-06-13T21:47:28Z,gate-b-300s-live-rr
127598,rr,696,saved_rr_points,2026-06-13T21:47:29Z,gate-b-300s-live-rr
128648,rr,682,saved_rr_points,2026-06-13T21:47:30Z,gate-b-300s-live-rr
130034,rr,678,saved_rr_points,2026-06-13T21:47:32Z,gate-b-300s-live-rr
130081,rr,658,saved_rr_points,2026-06-13T21:47:32Z,gate-b-300s-live-rr
